fluorochrome	type	nm	norm_intensity	source	num
AlexaFluorPlus800	ex	788	100	th	1
Aluora430	em	497	100	th	1
Aluora430	ex	426	100	th	1
Aluora488	em	518	100	th	1
Aluora488	ex	311	11	th	1
Aluora488	ex	493	100	th	2
Aluora514	em	528	100	th	1
Aluora514	ex	315	14	th	1
Aluora514	ex	512	100	th	2
Aluora555	em	567	100	th	1
Aluora555	ex	522	51	th	1
Aluora555	ex	553	100	th	2
Aluora594	em	615	100	th	1
Aluora594	ex	589	100	th	1
Aluora647	em	670	100	th	1
Aluora647	ex	652	100	th	1
Aluora700	em	706	100	th	1
Aluora700	ex	685	100	th	1
Aluora750	em	782	100	th	1
Aluora750	ex	757	100	th	1
AmCyan	em	490	100	bd	1
AmCyan	ex	458	100	bd	1
AmCyan	em	497	100	bl	1
AmCyan	ex	467	100	bl	1
AmethystOrange	em	538	100	bd	1
AmethystOrange	ex	308	100	bd	1
AmethystOrange	ex	394	100	bd	2
ApotrackerGreen	em	510	100	bl	1
ApotrackerGreen	ex	500	99	bl	1
BCECF@PH5.2	em	526	100	th	1
BCECF@PH5.2	ex	460	84	th	1
BCECF@PH5.2	ex	483	100	th	2
BOBO-1	em	484	100	th	1
BOBO-1	ex	311	58	th	1
BOBO-1	ex	461	100	th	2
BOBO-3	em	605	100	th	1
BOBO-3	ex	571	100	th	1
BODIPY_500_510	em	522	100	th	1
BODIPY_500_510	ex	358	23	th	1
BODIPY_500_510	ex	512	100	th	2
BODIPY_581_591	em	522	25	th	1
BODIPY_581_591	em	548	23	th	2
BODIPY_581_591	em	597	100	th	3
BODIPY_581_591	ex	550	36	th	1
BODIPY_581_591	ex	588	100	th	2
BODIPY_630_650	em	641	100	th	1
BODIPY_630_650	ex	625	100	th	1
BODIPY_650_665	em	664	100	th	1
BODIPY_650_665	ex	351	36	th	1
BODIPY_650_665	ex	646	100	th	2
BODIPY_FL	em	511	100	th	1
BODIPY_FL	ex	502	100	th	1
BODIPY_R6G	em	547	100	th	1
BODIPY_R6G	ex	528	100	th	1
BODIPY_TMR	em	570	100	th	1
BODIPY_TMR	ex	544	100	th	1
BODIPY_TR	em	621	100	th	1
BODIPY_TR	ex	312	29	th	1
BODIPY_TR	ex	588	100	th	2
BrilliantBlue515	em	512	100	bd	1
BrilliantBlue515	ex	311	20	bd	1
BrilliantBlue515	ex	339	12	bd	2
BrilliantBlue515	ex	490	100	bd	3
BrilliantBlue515	em	515	98	bl	1
BrilliantBlue515	ex	312	20	bl	1
BrilliantBlue515	ex	338	11	bl	2
BrilliantBlue515	ex	490	99	bl	3
BrilliantBlue515	em	514	100	th	1
BrilliantBlue515	ex	315	47	th	1
BrilliantBlue515	ex	490	100	th	2
BrilliantBlue630-P2	em	611	100	bd	1
BrilliantBlue630-P2	ex	323	57	bd	1
BrilliantBlue630-P2	ex	479	100	bd	2
BrilliantBlue630-P2	ex	592	48	bd	3
BrilliantBlue660-P2	em	657	100	bd	1
BrilliantBlue660-P2	ex	325	56	bd	1
BrilliantBlue660-P2	ex	478	100	bd	2
BrilliantBlue660-P2	ex	636	62	bd	3
BrilliantBlue700	em	693	100	bd	1
BrilliantBlue700	ex	324	59	bd	1
BrilliantBlue700	ex	478	100	bd	2
BrilliantBlue700	ex	671	63	bd	3
BrilliantBlue700	em	695	96	bl	1
BrilliantBlue700	ex	328	61	bl	1
BrilliantBlue700	ex	483	97	bl	2
BrilliantBlue700	ex	664	68	bl	3
BrilliantBlue700	em	695	100	th	1
BrilliantBlue700	ex	325	59	th	1
BrilliantBlue700	ex	476	100	th	2
BrilliantBlue700	ex	672	73	th	3
BrilliantBlue755-P	em	753	100	bd	1
BrilliantBlue755-P	ex	324	57	bd	1
BrilliantBlue755-P	ex	479	100	bd	2
BrilliantBlue755-P	ex	724	43	bd	3
BrilliantBlue790-P	em	786	100	bd	1
BrilliantBlue790-P	ex	326	63	bd	1
BrilliantBlue790-P	ex	484	100	bd	2
BrilliantBlue790-P	ex	754	49	bd	3
BrilliantUltraviolet395	em	394	100	bd	1
BrilliantUltraviolet395	ex	348	100	bd	1
BrilliantUltraviolet395	em	394	92	bl	1
BrilliantUltraviolet395	ex	348	99	bl	1
BrilliantUltraviolet395	em	399	100	th	1
BrilliantUltraviolet395	ex	347	100	th	1
BrilliantUltraviolet496	em	492	100	bd	1
BrilliantUltraviolet496	ex	350	100	bd	1
BrilliantUltraviolet496	em	499	98	bl	1
BrilliantUltraviolet496	ex	349	99	bl	1
BrilliantUltraviolet496	em	399	13	th	1
BrilliantUltraviolet496	em	493	100	th	2
BrilliantUltraviolet496	ex	348	100	th	1
BrilliantUltraviolet563	em	406	13	bd	1
BrilliantUltraviolet563	em	561	100	bd	2
BrilliantUltraviolet563	ex	350	100	bd	1
BrilliantUltraviolet563	ex	540	22	bd	2
BrilliantUltraviolet563	em	396	14	bl	1
BrilliantUltraviolet563	em	563	100	bl	2
BrilliantUltraviolet563	ex	349	99	bl	1
BrilliantUltraviolet563	ex	540	21	bl	2
BrilliantUltraviolet563	em	397	15	th	1
BrilliantUltraviolet563	em	563	100	th	2
BrilliantUltraviolet563	ex	349	100	th	1
BrilliantUltraviolet563	ex	540	22	th	2
BrilliantUltraviolet615	em	407	13	bd	1
BrilliantUltraviolet615	em	612	100	bd	2
BrilliantUltraviolet615	ex	351	100	bd	1
BrilliantUltraviolet615	ex	590	27	bd	2
