fluorochrome	flow_cytometry	DNA_dye	Ab_conjugate	fluorescent_protein	amine_dye
ThiolTrackerViolet	0	0	0	0	
TO-PRO-1	1	1	0	0	
TO-PRO-3	1	1	0	0	
TotalROSAssay520Nm	0	0	0	0	
TOTO-1	1	1	0	0	
TOTO-3	1	1	0	0	
TRI-COLOR	0	0	0	0	
TRITC	1	0	1	0	
TubulinTrackerDeepRed	0	0	0	0	
V450	1	0	1	0	
V500	1	0	1	0	
ViewRNAFastBlue	0	0	0	0	
ViewRNAFastRed	0	0	0	0	
Vio488	1	0	1	0	
Vio515	1	0	1	0	
Vio667	1	0	1	0	
VioBlue	1	0	1	0	
VioBright515	1	0	1	0	
VioBright667	1	0	1	0	
VioBrightFITC	1	0	1	0	
VioGreen	1	0	1	0	
VioletFluor450	1	0	1	0	
VioletMembraneAsymmetryProbe (F2N12S)	0	0	0	0	
VybrantDyeCycleGreen	1	1	0	0	
VybrantDyeCycleOrange	1	1	0	0	
VybrantDyeCycleRuby	1	1	0	0	
VybrantDyeCycleViolet	1	1	0	0	
X-Rhod-1 (CalciumBound)	0	0	0	0	
X-Rhod-5F (CalciumBound)	0	0	0	0	
XylanaseSubstrate	0	0	0	0	
YeastVacuoleMembraneMarker (MDY-64)	0	0	0	0	
YFP	1	0	0	1	
YO-PRO-1	1	1	0	0	
YO-PRO-3	1	1	0	0	
YOYO-1	1	1	0	0	
YOYO-3	1	1	0	0	
ZombieAqua	1	0	0	0	
ZombieB550	1	0	0	0	
ZombieGreen	1	0	0	0	
ZombieNIR	1	0	0	0	
ZombieR685	1	0	0	0	
ZombieR718	1	0	0	0	
ZombieRed	1	0	0	0	
ZombieUV	1	0	0	0	
ZombieUV387	1	0	0	0	
ZombieViolet	1	0	0	0	
ZombieYellow	1	0	0	0	
ZombieYG581	1	0	0	0	
ZsGreen	1	0	0	1	
